,分类名称,批发价格(元/千克)_否,批发价格(元/千克)_是,销售单价(元/千克)_否,销售单价(元/千克)_是,销量(千克)_否,销量(千克)_是,销量_zscore,销售单价_zscore,日期
0,水生根茎类,8.820666666666666,0.0,13.973333333333333,0.0,4.85,0.0,-0.9396556425200641,0.8924635822125121,2020-07-01
6,水生根茎类,7.458571428571429,0.0,11.971428571428572,0.0,4.6,0.0,-0.9477038265220228,0.3721878767600171,2020-07-02
12,水生根茎类,5.61,5.61,10.0,6.4,4.41,5.162,-0.9538204463635115,-0.14016736124505674,2020-07-03
18,水生根茎类,14.190625,0.0,22.075,0.0,5.439,0.0,-0.9206941210114494,2.99800847153602,2020-07-04
24,水生根茎类,5.419999999999999,0.0,10.0,0.0,4.019,0.0,-0.9664078061425749,-0.14016736124505674,2020-07-05
30,水生根茎类,5.45,5.45,10.0,9.7,2.708,0.381,-1.0086124830488463,-0.14016736124505674,2020-07-06
36,水生根茎类,5.46,0.0,10.0,0.0,3.117,0.0,-0.9954456540216419,-0.14016736124505674,2020-07-07
42,水生根茎类,7.778076923076923,0.0,13.923076923076923,0.0,10.605,0.0,-0.7543864467949747,0.879402426758351,2020-07-08
48,水生根茎类,5.47,0.0,10.0,0.0,2.106,0.0,-1.027992510125563,-0.14016736124505674,2020-07-09
54,水生根茎类,7.54962962962963,9.0,13.555555555555555,15.1,8.781,0.244,-0.8131059972732654,0.7838871742874434,2020-07-10
60,水生根茎类,8.055263157894737,9.0,14.421052631578949,14.775,7.406,1.522,-0.8573710092840383,1.0088215020157498,2020-07-11
66,水生根茎类,11.6190625,12.7625,17.89375,17.325,12.625,1.369,-0.6893571200591483,1.9113419952779767,2020-07-12
72,水生根茎类,7.971428571428571,6.6000000000000005,14.285714285714286,9.466666666666669,10.342,1.263,-0.7628531363650353,0.9736483735485821,2020-07-13
78,水生根茎类,7.474285714285715,8.0,14.857142857142858,14.9,8.682,0.325,-0.816293078138041,1.1221571381877338,2020-07-14
84,水生根茎类,7.247272727272727,6.62,14.363636363636363,10.8,9.615,0.623,-0.7862572554427311,0.993899568726648,2020-07-15
90,水生根茎类,7.086666666666667,7.086666666666666,14.0,12.633333333333333,10.183,1.171,-0.767971781390281,0.899393991229006,2020-07-16
96,水生根茎类,7.199310344827587,0.0,14.137931034482758,0.0,10.727,0.0,-0.7504589330020188,0.9352409344177667,2020-07-17
102,水生根茎类,7.521875,7.04375,14.875,12.4,7.242,3.176,-0.8626506179893232,1.1267980370827073,2020-07-18
108,水生根茎类,7.244117647058823,7.3575,14.235294117647058,13.225,8.204,2.92,-0.8316812059497861,0.9605446590215977,2020-07-19
114,水生根茎类,7.024761904761905,8.0,13.714285714285714,9.05,9.003,0.5449999999999999,-0.8059592098795261,0.82513960890943,2020-07-20
120,水生根茎类,9.828846153846154,11.17,16.73076923076923,15.466666666666669,11.445,1.299,-0.7273445485483934,1.60909452993726,2020-07-21
126,水生根茎类,8.665714285714285,8.0,16.478571428571428,14.6,9.799,1.051,-0.7803337920172896,1.5435507578513268,2020-07-22
132,水生根茎类,5.448857142857143,4.72,10.708571428571428,8.125,25.973,4.444,-0.259648479826569,0.043983506907491414,2020-07-23
138,水生根茎类,9.825185185185184,8.0,17.451851851851853,14.8,10.983,0.757,-0.7422175925840131,1.7964969361418084,2020-07-24
144,水生根茎类,7.745882352941177,7.82,15.058823529411764,12.366666666666667,7.516,2.908,-0.8538298083231766,1.1745719962956696,2020-07-25
150,水生根茎类,11.67875,11.5,19.31875,18.325,11.031,1.957,-0.7406723412556371,2.281685727096862,2020-07-26
156,水生根茎类,9.834444444444443,12.42,15.688888888888888,16.933333333333334,16.436,0.829,-0.5666706031332898,1.3383198956069435,2020-07-27
162,水生根茎类,7.216363636363637,7.4,12.0,10.4,13.508,0.451,-0.6609309341642302,0.37961331499197465,2020-07-28
168,水生根茎类,7.246969696969697,7.4,12.303030303030305,11.4,18.054,0.543,-0.5145827562726131,0.45836796290667675,2020-07-29
174,水生根茎类,7.372380952380952,7.4,12.19047619047619,11.02,8.316,2.329,-0.8280756195169086,0.4291162365383584,2020-07-30
180,水生根茎类,7.496756756756756,0.0,11.405405405405403,0.0,19.062,0.0,-0.48213247837671547,0.2250839247593432,2020-07-31
186,水生根茎类,7.552564102564103,7.6,11.384615384615383,9.7,19.1,2.332,-0.48090915440841775,0.21968079922673384,2020-08-01
192,水生根茎类,8.099166666666667,7.51,12.022916666666667,9.0,50.274,5.88,0.5226671978998253,0.38556913524052405,2020-08-02
198,水生根茎类,8.72951219512195,0.0,13.541463414634148,0.0,15.555,0.0,-0.5950324035561922,0.780224763018565,2020-08-03
204,水生根茎类,8.610980392156863,0.0,13.392156862745098,0.0,26.208,0.0,-0.25208318686472786,0.7414214327648103,2020-08-04
210,水生根茎类,8.313157894736841,0.0,12.8,0.0,21.452,0.0,-0.4051918393179902,0.5875255854867873,2020-08-05
216,水生根茎类,7.981111111111111,0.0,12.211111111111112,0.0,19.115,0.0,-0.4804262633683003,0.4344790530392171,2020-08-06
222,水生根茎类,9.0568,0.0,14.032,0.0,25.415,0.0,-0.27761202651894085,0.9077104820487986,2020-08-07
228,水生根茎类,8.197272727272727,0.0,12.836363636363636,0.0,27.461,0.0,-0.2117456886469108,0.5969761432365512,2020-08-08
234,水生根茎类,8.581228070175438,0.0,12.645614035087718,0.0,25.9,0.0,-0.26199854955514096,0.5474021648649808,2020-08-09
240,水生根茎类,7.3946875,0.0,11.68125,0.0,30.683,0.0,-0.10802069322966694,0.2967732697166978,2020-08-10
246,水生根茎类,8.319777777777777,8.18,12.911111111111111,12.0,19.681,0.777,-0.4622051747878657,0.6164022897221779,2020-08-11
