日期,单品名称,批发价格(元/千克)_否,销售单价(元/千克)_否,销量(千克)_否,损耗率(%)_否
2020-07-01,七彩椒(1),7.58,16.0,1.909,15.98
2020-07-01,上海青,7.03,10.0,11.475999999999999,14.429999999999998
2020-07-01,云南油麦菜,3.44,6.0,32.579,12.81
2020-07-01,云南生菜,6.72,8.0,41.966,15.25
2020-07-01,外地茼蒿,11.69,16.0,2.623,26.16
2020-07-01,大白菜,2.1,3.2,14.748,22.27
2020-07-01,姬菇(1),8.16,14.0,1.138,8.99
2020-07-01,娃娃菜,4.13,6.9,9.0,2.48
2020-07-01,小白菜,9.24,16.0,4.288,7.59
2020-07-01,小米椒,12.1,25.8,4.383,5.859999999999999
2020-07-01,木耳菜,4.2,7.0,3.039,7.610000000000001
2020-07-01,杏鲍菇(1),6.16,10.0,11.888,5.05
2020-07-01,泡泡椒(精品),4.32,7.6000000000000005,54.548,7.08
2020-07-01,洪湖藕带,29.43,39.8,0.7310000000000001,24.05
2020-07-01,海鲜菇(1),10.29,16.0,0.783,9.89
2020-07-01,灯笼椒(1),7.5,12.0,0.927,16.33
2020-07-01,甜白菜,4.44,8.0,18.271,9.43
2020-07-01,竹叶菜,3.19,6.0,11.352,13.62
2020-07-01,紫茄子(2),6.56,6.0,17.661,6.07
2020-07-01,红杭椒,7.829999999999999,18.0,2.129,9.99
2020-07-01,红椒(1),5.76,10.0,2.512,11.76
2020-07-01,红灯笼椒(1),8.24,14.0,1.953,8.93
2020-07-01,红薯尖,3.6,6.0,9.717,8.42
2020-07-01,苋菜,3.88,6.0,6.841,18.52
2020-07-01,菜心,4.6,8.0,8.959,13.7
2020-07-01,菠菜,8.47,14.0,5.4719999999999995,18.51
2020-07-01,西兰花,9.23,14.0,34.554,9.26
2020-07-01,西峡香菇(1),10.8,18.0,7.498,13.82
2020-07-01,金针菇(1),4.06,6.0,13.863,3.43
2020-07-01,青尖椒,4.64,8.0,2.844,6.72
2020-07-01,青梗散花,6.03,9.0,12.086,17.06
2020-07-01,青线椒,6.81,14.0,5.51,7.8
2020-07-01,青茄子(1),1.6300000000000001,4.0,17.713,5.01
2020-07-01,高瓜(1),5.65,10.0,4.119,29.25
2020-07-01,黄心菜(1),3.97,8.0,4.837,10.64
2020-07-01,黄白菜(2),4.63,9.0,6.5489999999999995,15.609999999999998
2020-07-02,七彩椒(1),7.33,14.0,1.825,15.98
2020-07-02,上海青,7.03,10.0,6.806,14.43
2020-07-02,东门口小白菜,6.830000000000001,10.0,1.392,27.84
2020-07-02,云南油麦菜,3.58,6.0,27.056,12.81
2020-07-02,云南生菜,4.23,8.0,44.409,15.25
2020-07-02,外地茼蒿,11.75,16.0,0.857,26.16
2020-07-02,大白菜,2.1,3.2000000000000006,10.693,22.27
2020-07-02,姬菇(1),8.05,14.0,1.539,8.99
2020-07-02,娃娃菜,4.11,6.900000000000001,6.0,2.48
2020-07-02,小白菜,9.19,16.0,4.55,7.59
2020-07-02,小米椒,12.13,25.8,4.148,5.86
2020-07-02,木耳菜,4.23,7.0,3.124,7.61
2020-07-02,杏鲍菇(1),6.15,10.0,10.164,5.05
2020-07-02,泡泡椒(精品),4.48,7.6,39.81,7.08
2020-07-02,洪湖藕带,29.54,37.6,0.258,24.05
2020-07-02,海鲜菇(1),10.13,16.0,2.254,9.89
2020-07-02,灯笼椒(1),6.459999999999999,12.0,1.679,16.33
2020-07-02,甜白菜,4.44,8.0,13.548,9.43
2020-07-02,竹叶菜,3.18,6.0,11.556000000000001,13.62
2020-07-02,紫茄子(2),3.7199999999999998,7.0,14.432,6.069999999999999
2020-07-02,红杭椒,7.269999999999999,16.0,1.679,9.99
2020-07-02,红椒(1),5.71,10.0,3.2969999999999997,11.76
2020-07-02,红灯笼椒(1),8.24,12.0,1.3940000000000001,8.93
2020-07-02,红薯尖,3.6,6.0,11.821,8.42
2020-07-02,苋菜,3.93,6.0,8.112,18.52
2020-07-02,菜心,4.52,8.0,14.275,13.7
2020-07-02,螺丝椒,7.1,10.0,5.844,10.18
2020-07-02,西兰花,8.9,14.0,30.109,9.26
2020-07-02,西峡香菇(1),10.8,19.8,17.345,13.82
2020-07-02,金针菇(1),4.05,6.0,17.208000000000002,3.43
2020-07-02,青尖椒,4.57,8.0,1.6669999999999998,6.72
2020-07-02,青梗散花,5.52,9.0,13.834,17.06
2020-07-02,青线椒,6.85,14.0,4.721,7.8
2020-07-02,青茄子(1),1.46,4.0,17.767,5.01
2020-07-02,高瓜(1),5.76,10.0,4.342,29.25
2020-07-02,黄心菜(1),3.9700000000000006,8.0,10.625,10.64
2020-07-02,黄白菜(2),4.76,9.0,4.176,15.610000000000001
2020-07-03,七彩椒(1),6.21,14.0,1.581,15.98
2020-07-03,上海青,6.76,10.0,12.659,14.429999999999998
2020-07-03,东门口小白菜,6.88,10.0,3.4779999999999998,27.84
2020-07-03,云南油麦菜,3.75,6.0,36.709,12.81
2020-07-03,云南生菜,4.61,8.0,36.309,15.25
2020-07-03,外地茼蒿,11.75,16.0,2.09,26.16
2020-07-03,大白菜,2.11,3.6,10.446,22.27
2020-07-03,姬菇(1),7.9,14.0,1.259,8.99
2020-07-03,娃娃菜,4.05,6.900000000000001,10.0,2.48
2020-07-03,小白菜,9.2,16.0,3.099,7.589999999999999
2020-07-03,小米椒,12.2,25.800000000000004,3.935,5.86
2020-07-03,木耳菜,4.3,7.0,2.306,7.610000000000001
2020-07-03,杏鲍菇(1),6.32,10.0,9.443999999999999,5.05
2020-07-03,泡泡椒(精品),5.31,7.6,32.351,7.08
2020-07-03,海鲜菇(1),10.05,16.0,1.816,9.89
2020-07-03,灯笼椒(1),6.23,12.0,1.369,16.33
2020-07-03,甜白菜,4.47,8.0,13.562,9.43
2020-07-03,竹叶菜,3.79,6.0,9.064,13.62
2020-07-03,紫茄子(2),6.56,7.0,17.553,6.07
2020-07-03,红杭椒,6.75,16.0,1.904,9.99
2020-07-03,红椒(1),5.7,10.0,4.738,11.76
2020-07-03,红灯笼椒(1),7.0,14.0,2.239,8.93
2020-07-03,红薯尖,3.6,6.0,11.424,8.42
2020-07-03,苋菜,3.57,6.0,7.694,18.52
2020-07-03,菜心,3.8899999999999997,8.0,8.173,13.7
2020-07-03,螺丝椒,6.58,10.0,9.099,10.18
2020-07-03,西兰花,8.97,14.0,26.46,9.26
2020-07-03,西峡香菇(1),10.8,19.8,15.29,13.82
2020-07-03,金针菇(1),4.05,7.0,14.633,3.43
2020-07-03,青尖椒,4.42,8.0,2.331,6.72
2020-07-03,青梗散花,4.81,8.0,15.616,17.06
2020-07-03,青线椒,8.07,14.0,4.7059999999999995,7.800000000000001
2020-07-03,青茄子(1),1.4799999999999998,4.0,18.343,5.01
2020-07-03,高瓜(1),5.61,10.0,4.41,29.25
2020-07-03,黄心菜(1),3.9799999999999995,8.0,6.943,10.64
2020-07-03,黄白菜(2),4.74,9.0,9.991,15.61
2020-07-04,七彩椒(1),7.43,14.0,0.6930000000000001,15.98
2020-07-04,上海青,6.56,10.0,28.186,14.43
2020-07-04,东门口小白菜,7.21,10.0,4.908,27.84
2020-07-04,云南油麦菜,3.75,6.0,42.962,12.81
2020-07-04,云南生菜,5.77,8.0,51.205,15.25
2020-07-04,大白菜,2.21,3.6,9.638,22.27
2020-07-04,姬菇(1),7.790000000000001,14.0,1.596,8.99
2020-07-04,娃娃菜,4.09,6.9,14.0,2.48
2020-07-04,小白菜,9.16,16.0,7.091,7.59
2020-07-04,小米椒,12.08,25.800000000000004,3.4210000000000003,5.86
2020-07-04,木耳菜,4.28,7.0,4.099,7.61
2020-07-04,杏鲍菇(1),6.0,10.0,13.054,5.05
2020-07-04,泡泡椒(精品),5.16,7.6,45.815,7.080000000000001
2020-07-04,洪湖藕带,25.48,37.6,2.332,24.05
2020-07-04,海鲜菇(1),10.08,16.0,1.3780000000000001,9.89
2020-07-04,灯笼椒(1),7.23,12.0,0.618,16.33
2020-07-04,甜白菜,4.44,8.0,15.843,9.43
2020-07-04,竹叶菜,3.46,6.0,20.571,13.62
2020-07-04,紫茄子(2),3.9400000000000004,7.0,33.045,6.07
2020-07-04,红杭椒,5.9,16.0,1.703,9.99
2020-07-04,红椒(1),5.42,10.0,4.948,11.76
2020-07-04,红灯笼椒(1),7.37,14.0,0.9450000000000001,8.93
