,日期,单品名称,批发价格(元/千克)_否,销售单价(元/千克)_否,销量(千克)_否,损耗率(%)_否
1,2020-07-01,上海青,7.03,10.0,11.476,14.429999999999998
2,2020-07-01,云南油麦菜,3.44,6.0,32.579,12.81
3,2020-07-01,云南生菜,6.72,8.0,41.966,15.25
4,2020-07-01,外地茼蒿,11.69,16.0,2.623,26.16
7,2020-07-01,娃娃菜,4.13,6.9,9.0,2.48
10,2020-07-01,木耳菜,4.2,7.0,3.039,7.610000000000001
13,2020-07-01,洪湖藕带,29.43,39.8,0.7310000000000001,24.05
17,2020-07-01,竹叶菜,3.19,6.0,11.352,13.62
18,2020-07-01,紫茄子(2),6.56,6.0,17.661,6.07
22,2020-07-01,红薯尖,3.6,6.0,9.717,8.42
23,2020-07-01,苋菜,3.88,6.0,6.841,18.52
24,2020-07-01,菜心,4.6,8.0,8.959,13.7
25,2020-07-01,菠菜,8.47,14.0,5.472,18.51
26,2020-07-01,西兰花,9.23,14.0,34.554,9.26
32,2020-07-01,青茄子(1),1.63,4.0,17.713,5.01
33,2020-07-01,高瓜(1),5.65,10.0,4.119,29.25
37,2020-07-02,上海青,7.03,10.0,6.806,14.43
39,2020-07-02,云南油麦菜,3.58,6.0,27.056,12.81
40,2020-07-02,云南生菜,4.23,8.0,44.409,15.25
41,2020-07-02,外地茼蒿,11.75,16.0,0.857,26.16
44,2020-07-02,娃娃菜,4.11,6.900000000000001,6.0,2.48
47,2020-07-02,木耳菜,4.23,7.0,3.124,7.61
50,2020-07-02,洪湖藕带,29.54,37.6,0.258,24.05
54,2020-07-02,竹叶菜,3.18,6.0,11.556,13.62
55,2020-07-02,紫茄子(2),3.72,7.0,14.432,6.069999999999999
59,2020-07-02,红薯尖,3.6,6.0,11.821,8.42
60,2020-07-02,苋菜,3.93,6.0,8.112,18.52
61,2020-07-02,菜心,4.52,8.0,14.275,13.7
62,2020-07-02,螺丝椒,7.1,10.0,5.844,10.18
63,2020-07-02,西兰花,8.9,14.0,30.109,9.26
69,2020-07-02,青茄子(1),1.46,4.0,17.767,5.01
70,2020-07-02,高瓜(1),5.76,10.0,4.342,29.25
74,2020-07-03,上海青,6.76,10.0,12.659,14.429999999999998
76,2020-07-03,云南油麦菜,3.75,6.0,36.709,12.81
77,2020-07-03,云南生菜,4.61,8.0,36.309,15.25
78,2020-07-03,外地茼蒿,11.75,16.0,2.09,26.16
81,2020-07-03,娃娃菜,4.05,6.900000000000001,10.0,2.48
84,2020-07-03,木耳菜,4.3,7.0,2.306,7.610000000000001
90,2020-07-03,竹叶菜,3.79,6.0,9.064,13.62
91,2020-07-03,紫茄子(2),6.56,7.0,17.553,6.07
95,2020-07-03,红薯尖,3.6,6.0,11.424,8.42
96,2020-07-03,苋菜,3.57,6.0,7.694,18.52
97,2020-07-03,菜心,3.89,8.0,8.173,13.7
98,2020-07-03,螺丝椒,6.58,10.0,9.099,10.18
99,2020-07-03,西兰花,8.97,14.0,26.46,9.26
105,2020-07-03,青茄子(1),1.4799999999999998,4.0,18.343,5.01
106,2020-07-03,高瓜(1),5.61,10.0,4.41,29.25
110,2020-07-04,上海青,6.56,10.0,28.186,14.43
112,2020-07-04,云南油麦菜,3.75,6.0,42.962,12.81
113,2020-07-04,云南生菜,5.77,8.0,51.205,15.25
116,2020-07-04,娃娃菜,4.09,6.9,14.0,2.48
119,2020-07-04,木耳菜,4.28,7.0,4.099,7.61
122,2020-07-04,洪湖藕带,25.48,37.6,2.332,24.05
126,2020-07-04,竹叶菜,3.46,6.0,20.571,13.62
127,2020-07-04,紫茄子(2),3.94,7.0,33.045,6.07
131,2020-07-04,菜心,3.53,8.0,13.034,13.7
132,2020-07-04,螺丝椒,6.0,14.0,10.238,10.18
133,2020-07-04,西兰花,9.27,14.0,42.815,9.26
139,2020-07-04,青茄子(1),1.98,4.0,24.022,5.01
140,2020-07-04,高瓜(1),5.41,10.0,3.107,29.25
144,2020-07-05,上海青,6.559999999999999,10.0,11.617,14.43
146,2020-07-05,云南油麦菜,3.75,6.0,12.594,12.81
147,2020-07-05,云南生菜,5.77,8.0,33.835,15.25
151,2020-07-05,娃娃菜,4.1,6.9,10.0,2.48
153,2020-07-05,木耳菜,4.31,7.0,3.568,7.610000000000001
158,2020-07-05,竹叶菜,3.45,6.0,30.519,13.62
159,2020-07-05,紫茄子(2),4.24,7.0,26.493,6.07
163,2020-07-05,红薯尖,3.6,6.0,55.159,8.42
164,2020-07-05,苋菜,3.48,6.0,6.021,18.52
165,2020-07-05,菜心,4.04,8.0,10.791,13.699999999999998
166,2020-07-05,螺丝椒,7.95,14.0,15.173,10.18
167,2020-07-05,西兰花,9.47,14.0,42.365,9.26
174,2020-07-05,青茄子(1),2.04,4.0,24.423,5.01
175,2020-07-05,高瓜(1),5.419999999999999,10.0,4.019,29.25
178,2020-07-06,上海青,6.25,10.0,13.458,14.43
179,2020-07-06,云南油麦菜,3.65,6.0,11.053,12.81
180,2020-07-06,云南生菜,6.480000000000001,8.0,36.532,15.25
181,2020-07-06,外地茼蒿,9.17,16.0,5.4190000000000005,26.16
185,2020-07-06,娃娃菜,4.06,6.9,9.0,2.48
188,2020-07-06,木耳菜,4.21,7.0,3.539,7.610000000000001
194,2020-07-06,竹叶菜,3.18,6.0,14.131,13.619999999999996
195,2020-07-06,紫茄子(2),4.49,8.0,8.96,6.07
199,2020-07-06,红薯尖,3.6,6.0,15.903,8.42
200,2020-07-06,苋菜,3.35,6.0,5.854,18.52
201,2020-07-06,菜心,4.55,8.0,10.162,13.7
202,2020-07-06,螺丝椒,8.16,14.0,10.36,10.18
203,2020-07-06,西兰花,9.48,14.0,23.99,9.26
210,2020-07-06,青茄子(1),2.05,4.0,16.434,5.01
211,2020-07-06,高瓜(1),5.45,10.0,2.708,29.25
214,2020-07-07,上海青,6.25,10.0,9.861,14.43
216,2020-07-07,云南油麦菜,3.73,6.0,28.214,12.81
217,2020-07-07,云南生菜,6.919999999999999,10.0,30.058,15.25
218,2020-07-07,外地茼蒿,9.42,16.0,3.416,26.16
221,2020-07-07,娃娃菜,4.07,6.863636363636363,5.0,2.48
225,2020-07-07,木耳菜,4.21,7.0,5.059,7.61
231,2020-07-07,竹叶菜,3.18,6.0,11.756,13.62
232,2020-07-07,紫茄子(2),4.75,8.0,14.6,6.07
236,2020-07-07,红薯尖,3.6000000000000005,6.0,4.698,8.42
237,2020-07-07,苋菜,3.26,6.0,8.062,18.52
238,2020-07-07,菜心,4.65,8.0,11.478,13.7
239,2020-07-07,螺丝椒,8.08,14.0,11.96,10.18
240,2020-07-07,西兰花,9.16,14.0,23.05,9.26
247,2020-07-07,青茄子(1),2.05,4.0,17.512,5.009999999999999
248,2020-07-07,高瓜(1),5.46,10.0,3.117,29.25
251,2020-07-08,上海青,6.25,10.0,12.569,14.43
252,2020-07-08,云南油麦菜,3.75,6.0,9.732,12.81
253,2020-07-08,云南生菜,6.92,10.0,21.339,15.25
254,2020-07-08,净藕(1),9.0,16.0,8.239,5.54
256,2020-07-08,外地茼蒿,9.81,18.0,1.146,26.16
259,2020-07-08,娃娃菜,4.11,6.9,0.0,2.48
262,2020-07-08,木耳菜,4.21,7.0,4.429,7.610000000000001
268,2020-07-08,竹叶菜,3.02,6.0,7.927,13.62
269,2020-07-08,紫茄子(2),5.23,8.0,18.012,6.07
273,2020-07-08,红薯尖,3.6000000000000005,6.0,9.769,8.42
274,2020-07-08,苋菜,3.24,6.0,9.079,18.52
275,2020-07-08,菜心,4.78,8.0,8.835,13.7
276,2020-07-08,螺丝椒,7.55,14.0,17.396,10.18
277,2020-07-08,西兰花,9.09,14.0,24.641,9.26
283,2020-07-08,青茄子(1),2.04,4.0,21.082,5.01
284,2020-07-08,高瓜(1),5.47,10.0,2.366,29.25
288,2020-07-09,上海青,6.25,10.0,10.182,14.43
289,2020-07-09,云南油麦菜,3.75,6.0,14.213,12.81
290,2020-07-09,云南生菜,7.06,10.0,33.109,15.25
291,2020-07-09,外地茼蒿,9.8,18.0,1.123,26.16
295,2020-07-09,娃娃菜,4.09,6.9,9.0,2.48
298,2020-07-09,木耳菜,4.22,7.0,4.013,7.61
304,2020-07-09,竹叶菜,2.84,6.0,17.546,13.62
305,2020-07-09,紫茄子(2),5.3,8.0,9.949,6.07
309,2020-07-09,红薯尖,3.6,6.0,19.198,8.42
310,2020-07-09,苋菜,3.0800000000000005,5.0,9.78,18.52
311,2020-07-09,菜心,4.77,8.0,8.397,13.7
312,2020-07-09,螺丝椒,7.25,14.0,9.917,10.179999999999998
313,2020-07-09,西兰花,9.03,14.0,25.205,9.26
319,2020-07-09,青茄子(1),2.04,4.0,8.217,5.01
320,2020-07-09,高瓜(1),5.47,10.0,2.106,29.25
324,2020-07-10,上海青,6.25,10.0,12.567,14.43
325,2020-07-10,云南油麦菜,3.75,6.0,27.308,12.81
326,2020-07-10,云南生菜,7.07,10.0,12.83,15.25
327,2020-07-10,净藕(1),9.0,16.0,6.206,5.54
328,2020-07-10,外地茼蒿,9.81,18.0,0.835,26.16
332,2020-07-10,娃娃菜,4.06,6.9,9.0,2.48
335,2020-07-10,木耳菜,4.23,7.0,2.02,7.610000000000001
341,2020-07-10,竹叶菜,2.62,6.0,8.396,13.62
342,2020-07-10,紫茄子(2),5.5,8.0,12.919,6.07
345,2020-07-10,红薯尖,3.6,6.0,16.458,8.42
346,2020-07-10,苋菜,2.41,5.0,5.964,18.52
347,2020-07-10,菜心,4.759999999999999,8.0,9.916,13.7
348,2020-07-10,螺丝椒,7.320000000000001,12.0,20.721,10.18
350,2020-07-10,西兰花,8.82,14.0,26.1,9.26
356,2020-07-10,青茄子(1),2.1,4.0,14.573,5.01
357,2020-07-10,高瓜(1),5.44,10.0,2.575,29.25
361,2020-07-11,上海青,6.25,10.0,20.957,14.43
363,2020-07-11,云南油麦菜,3.75,6.0,42.764,12.81
364,2020-07-11,云南生菜,7.03,10.0,18.45,15.25
365,2020-07-11,净藕(1),9.0,16.0,5.942,5.54
366,2020-07-11,外地茼蒿,10.61,18.0,6.047,26.16
369,2020-07-11,娃娃菜,4.04,6.9,13.0,2.48
372,2020-07-11,木耳菜,4.24,7.0,2.98,7.61
378,2020-07-11,竹叶菜,2.37,5.0,20.175,13.62
379,2020-07-11,紫茄子(2),5.42,8.0,29.464,6.07
383,2020-07-11,红薯尖,3.6,6.0,13.347,8.42
384,2020-07-11,苋菜,2.38,5.0,6.788,18.52
385,2020-07-11,菜心,4.77,8.0,12.184,13.7
386,2020-07-11,螺丝椒,7.51,12.0,32.347,10.18
387,2020-07-11,西兰花,8.91,14.0,33.401,9.26
392,2020-07-11,青茄子(1),2.19,4.0,30.859,5.01
393,2020-07-11,高瓜(1),5.41,10.0,1.464,29.25
396,2020-07-12,上海青,6.25,10.0,12.99,14.43
398,2020-07-12,云南油麦菜,3.75,6.0,58.774,12.81
399,2020-07-12,云南生菜,6.92,10.0,26.44,15.25
400,2020-07-12,净藕(1),9.0,16.0,8.26,5.54
401,2020-07-12,外地茼蒿,11.06,18.0,2.376,26.16
405,2020-07-12,娃娃菜,4.05,6.9,15.0,2.48
408,2020-07-12,木耳菜,4.43,7.0,5.174,7.61
411,2020-07-12,洪湖藕带,24.05,29.8,2.461,24.05
416,2020-07-12,竹叶菜,2.24,5.0,30.973,13.62
417,2020-07-12,紫茄子(2),5.05,8.0,36.555,6.07
421,2020-07-12,红薯尖,3.6,6.0,10.118,8.42
422,2020-07-12,苋菜,2.39,5.0,7.087,18.52
